Ref	x	y	Connectivity	Point First Moment	Point Second Moment
655431	1.04	7.64	101	33.710976	17.348801
655432	1.04	7.68	111	38.165024	19.993601
655433	1.04	7.72	89	23.107052	8.8240004
655434	1.04	7.76	74	16.567806	4.6016002
720904	1.08	5.12	201	85.265106	52.6576
720905	1.08	5.16	219	96.503235	64.750397
720906	1.08	5.2	221	97.311829	68.9888
720907	1.08	5.24	208	80.383865	50.900799
720908	1.08	5.28	186	54.491756	22.559999
720909	1.08	5.32	175	46.611843	17.1024
720910	1.08	5.36	170	43.306866	14.6224
720911	1.08	5.4	157	38.037258	11.4528
720912	1.08	5.44	154	40.53104	13.4224
720913	1.08	5.48	151	44.117947	15.9408
720915	1.08	5.56	217	103.57859	64.193604
720916	1.08	5.6	233	103.64909	60.2896
720917	1.08	5.64	249	107.57411	60.627201
720918	1.08	5.68	250	102.89072	55.972801
720919	1.08	5.72	247	96.681618	50.2416
720920	1.08	5.76	246	91.196266	44.812801
720921	1.08	5.8	239	83.17421	38.007999
720922	1.08	5.84	246	84.507332	37.819199
720923	1.08	5.88	255	88.889984	40.588799
720924	1.08	5.92	271	100.64622	50.7808
720925	1.08	5.96	420	464.32104	1053.4784
720926	1.08	6	438	502.4375	1162.8032
720927	1.08	6.04	262	97.8004	51.7584
720928	1.08	6.08	249	89.923332	45.880001
720929	1.08	6.12	244	89.665329	46.944
720930	1.08	6.16	240	90.501976	48.556801
720931	1.08	6.2	236	90.68074	49.062401
720932	1.08	6.24	229	91.16906	51.459202
720933	1.08	6.28	223	92.68647	54.448002
720934	1.08	6.32	222	99.409882	61.992001
720935	1.08	6.36	221	106.10816	69.472
720936	1.08	6.4	220	113.45081	77.686401
720940	1.08	6.56	71	20.965086	9.7296
720946	1.08	6.8	58	19.021942	9.3984003
720952	1.08	7.04	75	17.761301	5.1423998
720953	1.08	7.08	81	18.331873	5.2160001
720954	1.08	7.12	139	52.725243	30.7488
720955	1.08	7.16	133	49.985279	29.2656
720956	1.08	7.2	79	17.34952	4.7792001
720957	1.08	7.24	73	17.017426	4.848
720959	1.08	7.32	71	16.617079	4.7616
