Ref	x1	y1	x2	y2	Connectivity	Line Length
251	530956.409773	185451.747407	531082.791848	185615.8646	7	207.13977
252	530989.078083	185503.570056	531042.308887	185436.803289	1	85.389229
253	530990.535791	185818.304973	531427.908644	185996.218258	7	472.17386
254	531053.182121	185860.746689	531225.67492	185473.343204	5	424.06982
255	530705.244826	185533.116831	531060.114084	185861.522043	8	483.51025
256	530721.65189	185566.086325	530750.221062	185452.185798	4	117.42882
257	530697.522371	185542.745556	530796.014069	185494.11443	4	109.84353
258	530775.957685	185501.282477	530944.392205	185612.803972	4	202.008
259	530842.445203	185661.751105	530993.246275	185401.392558	7	300.87793
260	530866.53772	185054.496792	530910.763225	185339.341033	5	288.25708
261	531241.837484	185051.9572	531241.844548	185051.946966	1	0.012435302
262	530922.274679	185514.972524	531058.699701	185297.133443	5	257.03241
263	530904.468114	185513.935543	530924.34682	185527.885154	1	24.284863
264	530929.736723	185749.262318	530959.18129	185714.807208	2	45.32259
265	530951.620343	185719.045249	530974.072142	185710.381351	2	24.065462
266	530966.368846	185708.247852	531029.276911	185742.952862	2	71.8461
267	530692.026577	185303.976423	530990.555487	185489.098583	6	351.26874
268	530835.94378	185306.864232	530970.178935	185451.086004	3	197.02538
269	530668.7796	185311.512872	531368.109166	185350.571812	10	700.41949
270	530778.756701	185458.835796	530837.745708	185386.502282	3	93.337242
271	530789.341101	185512.139628	530797.608142	185429.168318	4	83.382149
272	530736.68628	185468.226257	530809.499457	185434.724184	4	80.15078
273	530609.743661	185359.425586	530748.959542	185471.181754	4	178.52312
274	531137.98644	185568.028734	531183.03071	185581.486954	2	47.011806
275	531138.414156	185569.881144	531167.326902	185511.35892	2	65.274788
276	531037.954234	185568.212706	531226.956583	185337.048601	4	298.5946
277	530905.703102	185592.17185	531055.596881	185665.158545	2	166.71893
278	531259.240929	185945.187025	531342.541952	185694.040277	2	264.6011
279	530564.955234	184893.47949	530687.494969	184780.983957	2	166.34673
